word,spelling_status,confidence_score,classification_reason,frequency
रास्ता,correct spelling,high,found in reference vocabulary,13
टीवी,correct spelling,high,found in reference vocabulary,13
गंगा,correct spelling,high,found in reference vocabulary,13
बुक,correct spelling,high,found in reference vocabulary,13
रूम,correct spelling,high,found in reference vocabulary,13
बोलना,correct spelling,high,found in reference vocabulary,13
साफ,correct spelling,high,found in reference vocabulary,13
बेहतर,correct spelling,high,found in reference vocabulary,13
कहने,correct spelling,high,found in reference vocabulary,13
मार,correct spelling,high,found in reference vocabulary,13
इनको,correct spelling,high,found in reference vocabulary,13
खाया,correct spelling,high,found in reference vocabulary,13
चुनौतियां,correct spelling,high,found in reference vocabulary,13
चहिए,correct spelling,high,found in reference vocabulary,13
नी,correct spelling,high,found in reference vocabulary,13
तुम्हारे,correct spelling,high,found in reference vocabulary,13
मसाला,correct spelling,high,found in reference vocabulary,13
चावल,correct spelling,high,found in reference vocabulary,13
ज्यादातर,correct spelling,high,found in reference vocabulary,13
ऑफिस,correct spelling,high,found in reference vocabulary,13
झूठ,correct spelling,high,found in reference vocabulary,13
आईफोन,correct spelling,high,found in reference vocabulary,13
सेफ्टी,correct spelling,high,found in reference vocabulary,13
रो,correct spelling,high,found in reference vocabulary,13
शौक,correct spelling,high,found in reference vocabulary,13
रोज,correct spelling,high,found in reference vocabulary,13
बैटमैन,correct spelling,high,found in reference vocabulary,13
ईमानदारी,correct spelling,high,found in reference vocabulary,13
उपर,correct spelling,high,found in reference vocabulary,12
आठ,correct spelling,high,found in reference vocabulary,12
आराम,correct spelling,high,found in reference vocabulary,12
छोड़ने,correct spelling,high,found in reference vocabulary,12
योजना,correct spelling,high,found in reference vocabulary,12
सीखा,correct spelling,high,found in reference vocabulary,12
चक्कर,correct spelling,high,found in reference vocabulary,12
मां,correct spelling,high,found in reference vocabulary,12
चाहती,correct spelling,high,found in reference vocabulary,12
मेन,correct spelling,high,found in reference vocabulary,12
हसी,correct spelling,high,found in reference vocabulary,12
स्थिति,correct spelling,high,found in reference vocabulary,12
लिये,correct spelling,high,found in reference vocabulary,12
होटल,correct spelling,high,found in reference vocabulary,12
कितने,correct spelling,high,found in reference vocabulary,12
हं,correct spelling,high,found in reference vocabulary,12
पूछ,correct spelling,high,found in reference vocabulary,12
थैंक,correct spelling,high,found in reference vocabulary,12
लाइक,correct spelling,high,found in reference vocabulary,12
देखो,correct spelling,high,found in reference vocabulary,12
पाएगा,correct spelling,high,found in reference vocabulary,12
भई,correct spelling,high,found in reference vocabulary,12
देखता,correct spelling,high,found in reference vocabulary,12
बिजनेस,correct spelling,high,found in reference vocabulary,12
यादें,correct spelling,high,found in reference vocabulary,12
सेकंड,correct spelling,high,found in reference vocabulary,12
नाश्ता,correct spelling,high,found in reference vocabulary,12
तर,correct spelling,high,found in reference vocabulary,12
चुनौती,correct spelling,high,found in reference vocabulary,12
डेकोरेशन,correct spelling,high,found in reference vocabulary,12
प्रभाव,correct spelling,high,found in reference vocabulary,12
चलाने,correct spelling,high,found in reference vocabulary,12
प्रेरणा,correct spelling,high,found in reference vocabulary,12
सफल,correct spelling,high,found in reference vocabulary,12
कदम,correct spelling,high,found in reference vocabulary,12
इन्होंने,correct spelling,high,found in reference vocabulary,12
डिस्कस,correct spelling,high,found in reference vocabulary,12
उसमे,correct spelling,high,found in reference vocabulary,12
भर,correct spelling,high,found in reference vocabulary,11
वक्त,correct spelling,high,found in reference vocabulary,11
सो,correct spelling,high,found in reference vocabulary,11
उठा,correct spelling,high,found in reference vocabulary,11
भाषा,correct spelling,high,found in reference vocabulary,11
रास्ते,correct spelling,high,found in reference vocabulary,11
घूमते,correct spelling,high,found in reference vocabulary,11
हलो,correct spelling,high,found in reference vocabulary,11
खेलना,correct spelling,high,found in reference vocabulary,11
बैग,correct spelling,high,found in reference vocabulary,11
दूसरों,correct spelling,high,found in reference vocabulary,11
बनाए,correct spelling,high,found in reference vocabulary,11
बहन,correct spelling,high,found in reference vocabulary,11
सोचना,correct spelling,high,found in reference vocabulary,11
लास्ट,correct spelling,high,found in reference vocabulary,11
साड़ी,correct spelling,high,found in reference vocabulary,11
मजाक,correct spelling,high,found in reference vocabulary,11
जनरली,correct spelling,high,found in reference vocabulary,11
पर्सनल,correct spelling,high,found in reference vocabulary,11
फेवरेट,correct spelling,high,found in reference vocabulary,11
कपड़े,correct spelling,high,found in reference vocabulary,11
फॉलो,correct spelling,high,found in reference vocabulary,11
अक्सर,correct spelling,high,found in reference vocabulary,11
पुरानी,correct spelling,high,found in reference vocabulary,11
मनी,correct spelling,high,found in reference vocabulary,11
फेमस,correct spelling,high,found in reference vocabulary,11
भीड़,correct spelling,high,found in reference vocabulary,11
सरकार,correct spelling,high,found in reference vocabulary,11
गाँव,correct spelling,high,found in reference vocabulary,11
पंडित,correct spelling,high,found in reference vocabulary,11
तैयार,correct spelling,high,found in reference vocabulary,11
सीट,correct spelling,high,found in reference vocabulary,11
नींद,correct spelling,high,found in reference vocabulary,11
करूँ,correct spelling,high,found in reference vocabulary,11
इनका,correct spelling,high,found in reference vocabulary,11
देखें,correct spelling,high,found in reference vocabulary,11
जोर,correct spelling,high,found in reference vocabulary,11
हिस्सा,correct spelling,high,found in reference vocabulary,11
सर।,correct spelling,high,found in reference vocabulary,11
होके,correct spelling,high,found in reference vocabulary,11
ज़्यादातर,correct spelling,high,found in reference vocabulary,11
हॉस्टल,correct spelling,high,found in reference vocabulary,11
जान,correct spelling,high,found in reference vocabulary,11
परिवर्तन,correct spelling,high,found in reference vocabulary,11
परेशानी,correct spelling,high,found in reference vocabulary,11
फ्री,correct spelling,high,found in reference vocabulary,11
कनेक्ट,correct spelling,high,found in reference vocabulary,11
म,correct spelling,high,found in reference vocabulary,11
दर्द,correct spelling,high,found in reference vocabulary,11
प्लस,correct spelling,high,found in reference vocabulary,11
सीखना,correct spelling,high,found in reference vocabulary,11
सुधार,correct spelling,high,found in reference vocabulary,11
आसान,correct spelling,high,found in reference vocabulary,11
ऑनलाइन,correct spelling,high,found in reference vocabulary,11
जाये,correct spelling,high,found in reference vocabulary,11
इंतजार,correct spelling,high,found in reference vocabulary,11
भविष्य,correct spelling,high,found in reference vocabulary,11
बनना,correct spelling,high,found in reference vocabulary,11
खिलाड़ी,correct spelling,high,found in reference vocabulary,11
ग्राउंड,correct spelling,high,found in reference vocabulary,11
छुट्टी,correct spelling,high,found in reference vocabulary,11
आके,correct spelling,high,found in reference vocabulary,10
स्टेशन,correct spelling,high,found in reference vocabulary,10
गये,correct spelling,high,found in reference vocabulary,10
आवाज़,correct spelling,high,found in reference vocabulary,10
पंद्रह,correct spelling,high,found in reference vocabulary,10
पड़ती,correct spelling,high,found in reference vocabulary,10
बगल,correct spelling,high,found in reference vocabulary,10
सीन,correct spelling,high,found in reference vocabulary,10
लड़के,correct spelling,high,found in reference vocabulary,10
हाॅं,correct spelling,high,found in reference vocabulary,10
ट्राई,correct spelling,high,found in reference vocabulary,10
थिंक,correct spelling,high,found in reference vocabulary,10
सूट,correct spelling,high,found in reference vocabulary,10
वेयर,correct spelling,high,found in reference vocabulary,10
यूट्यूब,correct spelling,high,found in reference vocabulary,10
हनी,correct spelling,high,found in reference vocabulary,10
मिलेगा,correct spelling,high,found in reference vocabulary,10
मूड,correct spelling,high,found in reference vocabulary,10
तय,correct spelling,high,found in reference vocabulary,10
चाह,correct spelling,high,found in reference vocabulary,10
बोलता,correct spelling,high,found in reference vocabulary,10
हुंह,correct spelling,high,found in reference vocabulary,10
विषय,correct spelling,high,found in reference vocabulary,10
मौका,correct spelling,high,found in reference vocabulary,10
लोकल,correct spelling,high,found in reference vocabulary,10
रखे,correct spelling,high,found in reference vocabulary,10
डायरेक्ट,correct spelling,high,found in reference vocabulary,10
सीखते,correct spelling,high,found in reference vocabulary,10
होकर,correct spelling,high,found in reference vocabulary,10
गेट,correct spelling,high,found in reference vocabulary,10
मनोरंजन,correct spelling,high,found in reference vocabulary,10
होली,correct spelling,high,found in reference vocabulary,10
मेला,correct spelling,high,found in reference vocabulary,10
सफाई,correct spelling,high,found in reference vocabulary,10
सॉरी,correct spelling,high,found in reference vocabulary,10
मेम,correct spelling,high,found in reference vocabulary,10
सीधा,correct spelling,high,found in reference vocabulary,10
मेट्रो,correct spelling,high,found in reference vocabulary,10
बताओ,correct spelling,high,found in reference vocabulary,10
दया,correct spelling,high,found in reference vocabulary,10
रहेंगे,correct spelling,high,found in reference vocabulary,10
बताऊं,correct spelling,high,found in reference vocabulary,10
बताते,correct spelling,high,found in reference vocabulary,10
बीस,correct spelling,high,found in reference vocabulary,10
मीट,correct spelling,high,found in reference vocabulary,10
एंजॉय,correct spelling,high,found in reference vocabulary,10
खड़े,correct spelling,high,found in reference vocabulary,10
फोकस,correct spelling,high,found in reference vocabulary,10
साइंस,correct spelling,high,found in reference vocabulary,10
इंटरव्यू,correct spelling,high,found in reference vocabulary,10
खरीद,correct spelling,high,found in reference vocabulary,10
स्किल्स,correct spelling,high,found in reference vocabulary,10
प्रोग्राम,correct spelling,high,found in reference vocabulary,10
जिसके,correct spelling,high,found in reference vocabulary,10
न्यू,correct spelling,high,found in reference vocabulary,10
में।,correct spelling,high,found in reference vocabulary,10
हल,correct spelling,high,found in reference vocabulary,10
आदर्श,correct spelling,high,found in reference vocabulary,10
असफल,correct spelling,high,found in reference vocabulary,10
प्रसाद,correct spelling,high,found in reference vocabulary,10
लूंगा,correct spelling,high,found in reference vocabulary,10
कंप्लीट,correct spelling,high,found in reference vocabulary,10
ट्वेंटी,correct spelling,high,found in reference vocabulary,10
गलतियां,correct spelling,high,found in reference vocabulary,10
दर्शन,correct spelling,high,found in reference vocabulary,10
टीचर्स,correct spelling,high,found in reference vocabulary,10
पेंटिंग,correct spelling,high,found in reference vocabulary,10
घरवालों,correct spelling,high,found in reference vocabulary,10
आये,correct spelling,high,found in reference vocabulary,10
गवर्नमेंट,correct spelling,high,found in reference vocabulary,10
पड़ी,correct spelling,high,found in reference vocabulary,10
इंटरेस्ट,correct spelling,high,found in reference vocabulary,10
खेले,correct spelling,high,found in reference vocabulary,10
खड़ी,correct spelling,high,found in reference vocabulary,10
परेशान,correct spelling,high,found in reference vocabulary,10
इंग्लिश,correct spelling,high,found in reference vocabulary,10
गुस्सा,correct spelling,high,found in reference vocabulary,10
दोस्ती,correct spelling,high,found in reference vocabulary,10
अंक,correct spelling,high,found in reference vocabulary,10
अफसोस,correct spelling,high,found in reference vocabulary,10
चलना,correct spelling,high,found in reference vocabulary,9
लाइट,correct spelling,high,found in reference vocabulary,9
जितनी,correct spelling,high,found in reference vocabulary,9
जाएगी,correct spelling,high,found in reference vocabulary,9
इमोशनल,correct spelling,high,found in reference vocabulary,9
हूँ।,correct spelling,high,found in reference vocabulary,9
लगाव,correct spelling,high,found in reference vocabulary,9
एक्चुली,correct spelling,high,found in reference vocabulary,9
ला,correct spelling,high,found in reference vocabulary,9
फर्क,correct spelling,high,found in reference vocabulary,9
प्ले,correct spelling,high,found in reference vocabulary,9
भक्ति,correct spelling,high,found in reference vocabulary,9
बच,correct spelling,high,found in reference vocabulary,9
शिवलिंग,correct spelling,high,found in reference vocabulary,9
आरती,correct spelling,high,found in reference vocabulary,9
घूम,correct spelling,high,found in reference vocabulary,9
किनारे,correct spelling,high,found in reference vocabulary,9
अनुसार,correct spelling,high,found in reference vocabulary,9
खुश,correct spelling,high,found in reference vocabulary,9
खड़ा,correct spelling,high,found in reference vocabulary,9
मार्केट,correct spelling,high,found in reference vocabulary,9
प्लान,correct spelling,high,found in reference vocabulary,9
आइडिया,correct spelling,high,found in reference vocabulary,9
काट,correct spelling,high,found in reference vocabulary,9
मिलकर,correct spelling,high,found in reference vocabulary,9
ख्याल,correct spelling,high,found in reference vocabulary,9
बैठ,correct spelling,high,found in reference vocabulary,9
प्लास्टिक,correct spelling,high,found in reference vocabulary,9
मांग,correct spelling,high,found in reference vocabulary,9
भले,correct spelling,high,found in reference vocabulary,9
समाज,correct spelling,high,found in reference vocabulary,9
सहयोग,correct spelling,high,found in reference vocabulary,9
घंटा,correct spelling,high,found in reference vocabulary,9
भावना,correct spelling,high,found in reference vocabulary,9
प्रति,correct spelling,high,found in reference vocabulary,9
यहीं,correct spelling,high,found in reference vocabulary,9
सबकी,correct spelling,high,found in reference vocabulary,9
हद,correct spelling,high,found in reference vocabulary,9
मिलेंगे,correct spelling,high,found in reference vocabulary,9
बनता,correct spelling,high,found in reference vocabulary,9
बोली,correct spelling,high,found in reference vocabulary,9
गहराई,correct spelling,high,found in reference vocabulary,9
हार,correct spelling,high,found in reference vocabulary,9
मोटिवेट,correct spelling,high,found in reference vocabulary,9
अगली,correct spelling,high,found in reference vocabulary,9
प्रेशर,correct spelling,high,found in reference vocabulary,9
करोगे,correct spelling,high,found in reference vocabulary,9
फायदा,correct spelling,high,found in reference vocabulary,9
नियम,correct spelling,high,found in reference vocabulary,9
पहलू,correct spelling,high,found in reference vocabulary,9
स्वाद,correct spelling,high,found in reference vocabulary,9
आटा,correct spelling,high,found in reference vocabulary,9
शुरुआत,correct spelling,high,found in reference vocabulary,9
यानी,correct spelling,high,found in reference vocabulary,9
स्वामी,correct spelling,high,found in reference vocabulary,9
विवेकानंद,correct spelling,high,found in reference vocabulary,9
क्लब,correct spelling,high,found in reference vocabulary,9
पिछले,correct spelling,high,found in reference vocabulary,9
एग्जांपल,correct spelling,high,found in reference vocabulary,9
टीचिंग,correct spelling,high,found in reference vocabulary,9
चलाना,correct spelling,high,found in reference vocabulary,9
रतलाम,correct spelling,high,found in reference vocabulary,9
किस्सा,correct spelling,high,found in reference vocabulary,9
कमरा,correct spelling,high,found in reference vocabulary,9
कबड्डी,correct spelling,high,found in reference vocabulary,9
बॉस,correct spelling,high,found in reference vocabulary,9
देरी,correct spelling,high,found in reference vocabulary,9
साइकल,correct spelling,high,found in reference vocabulary,9
रेडियो,correct spelling,high,found in reference vocabulary,9
चुप,correct spelling,high,found in reference vocabulary,9
मानेंगे,correct spelling,high,found in reference vocabulary,9
प्रोजेक्ट,correct spelling,high,found in reference vocabulary,8
अहह,correct spelling,high,found in reference vocabulary,8
थ्रू,correct spelling,high,found in reference vocabulary,8
जला,correct spelling,high,found in reference vocabulary,8
मौसम,correct spelling,high,found in reference vocabulary,8
उतनी,correct spelling,high,found in reference vocabulary,8
खिला,correct spelling,high,found in reference vocabulary,8
निकलता,correct spelling,high,found in reference vocabulary,8
बैठा,correct spelling,high,found in reference vocabulary,8
लेती,correct spelling,high,found in reference vocabulary,8
गर्मी,correct spelling,high,found in reference vocabulary,8
जल,correct spelling,high,found in reference vocabulary,8
देखकर,correct spelling,high,found in reference vocabulary,8
बनाती,correct spelling,high,found in reference vocabulary,8
देखके,correct spelling,high,found in reference vocabulary,8
पढ़ेंगे,correct spelling,high,found in reference vocabulary,8
पंजाब,correct spelling,high,found in reference vocabulary,8
हंसी,correct spelling,high,found in reference vocabulary,8
पहन,correct spelling,high,found in reference vocabulary,8
प्लानिंग,correct spelling,high,found in reference vocabulary,8
ट्राइ,correct spelling,high,found in reference vocabulary,8
मगर,correct spelling,high,found in reference vocabulary,8
आपस,correct spelling,high,found in reference vocabulary,8
हो।,correct spelling,high,found in reference vocabulary,8
कहेंगे,correct spelling,high,found in reference vocabulary,8
फिल्म,correct spelling,high,found in reference vocabulary,8
सुने,correct spelling,high,found in reference vocabulary,8
उ,correct spelling,high,found in reference vocabulary,8
तुरंत,correct spelling,high,found in reference vocabulary,8
सुनता,correct spelling,high,found in reference vocabulary,8
डिजाइन,correct spelling,high,found in reference vocabulary,8
बताती,correct spelling,high,found in reference vocabulary,8
पूजा,correct spelling,high,found in reference vocabulary,8
कृष्ण,correct spelling,high,found in reference vocabulary,8
भगवान,correct spelling,high,found in reference vocabulary,8
डेट,correct spelling,high,found in reference vocabulary,8
ड्रेस,correct spelling,high,found in reference vocabulary,8
घरवाले,correct spelling,high,found in reference vocabulary,8
सजाने,correct spelling,high,found in reference vocabulary,8
आस,correct spelling,high,found in reference vocabulary,8
जेसे,correct spelling,high,found in reference vocabulary,8
वापस,correct spelling,high,found in reference vocabulary,8
इनसे,correct spelling,high,found in reference vocabulary,8
ओह,correct spelling,high,found in reference vocabulary,8
जस्ट,correct spelling,high,found in reference vocabulary,8
नशा,correct spelling,high,found in reference vocabulary,8
अधिक,correct spelling,high,found in reference vocabulary,8
उम्मीद,correct spelling,high,found in reference vocabulary,8
माइंड,correct spelling,high,found in reference vocabulary,8
गिरते,correct spelling,high,found in reference vocabulary,8
फेस्ट,correct spelling,high,found in reference vocabulary,8
चलेगा,correct spelling,high,found in reference vocabulary,8
उठता,correct spelling,high,found in reference vocabulary,8
दूध,correct spelling,high,found in reference vocabulary,8
अप,correct spelling,high,found in reference vocabulary,8
लेवल,correct spelling,high,found in reference vocabulary,8
ग्रुप,correct spelling,high,found in reference vocabulary,8
राइट,correct spelling,high,found in reference vocabulary,8
लड्डू,correct spelling,high,found in reference vocabulary,8
बने,correct spelling,high,found in reference vocabulary,8
फूड,correct spelling,high,found in reference vocabulary,8
दिखता,correct spelling,high,found in reference vocabulary,8
वर्क,correct spelling,high,found in reference vocabulary,8
उठ,correct spelling,high,found in reference vocabulary,8
प्वाइंट,correct spelling,high,found in reference vocabulary,8
सिर,correct spelling,high,found in reference vocabulary,8
क,correct spelling,high,found in reference vocabulary,8
समझाया,correct spelling,high,found in reference vocabulary,8
जानते,correct spelling,high,found in reference vocabulary,8
पॉजिटिव,correct spelling,high,found in reference vocabulary,8
इंटरनेट,correct spelling,high,found in reference vocabulary,8
मानती,correct spelling,high,found in reference vocabulary,8
भांग,correct spelling,high,found in reference vocabulary,8
इसीलिए,correct spelling,high,found in reference vocabulary,8
हम्म।,correct spelling,high,found in reference vocabulary,8
एज,correct spelling,high,found in reference vocabulary,8
किताबों,correct spelling,high,found in reference vocabulary,8
रिलेटेड,correct spelling,high,found in reference vocabulary,8
होंगी,correct spelling,high,found in reference vocabulary,8
पाती,correct spelling,high,found in reference vocabulary,8
निकाल,correct spelling,high,found in reference vocabulary,8
फाइव,correct spelling,high,found in reference vocabulary,8
गैजेट्स,correct spelling,high,found in reference vocabulary,8
दूरी,correct spelling,high,found in reference vocabulary,8
बाइक,correct spelling,high,found in reference vocabulary,8
सालों,correct spelling,high,found in reference vocabulary,8
ताजा,correct spelling,high,found in reference vocabulary,8
महीने,correct spelling,high,found in reference vocabulary,8
फिल्ड,correct spelling,high,found in reference vocabulary,8
समझते,correct spelling,high,found in reference vocabulary,8
हर्ट,correct spelling,high,found in reference vocabulary,8
स्विच,correct spelling,high,found in reference vocabulary,8
दिख,correct spelling,high,found in reference vocabulary,8
धर्मशाला,correct spelling,high,found in reference vocabulary,8
येस,correct spelling,high,found in reference vocabulary,8
स्वास्थ्य,correct spelling,high,found in reference vocabulary,8
शारीरिक,correct spelling,high,found in reference vocabulary,8
तकलीफ,correct spelling,high,found in reference vocabulary,8
दौरान,correct spelling,high,found in reference vocabulary,8
बिजली,correct spelling,high,found in reference vocabulary,8
दौड़,correct spelling,high,found in reference vocabulary,8
रेस,correct spelling,high,found in reference vocabulary,8
अरिजीत,correct spelling,high,found in reference vocabulary,8
नर्वस,correct spelling,high,found in reference vocabulary,8
जैसी,correct spelling,high,found in reference vocabulary,7
नौ,correct spelling,high,found in reference vocabulary,7
नहीं।,correct spelling,high,found in reference vocabulary,7
वगेरा,correct spelling,high,found in reference vocabulary,7
बिल्कुल।,correct spelling,high,found in reference vocabulary,7
थी।,correct spelling,high,found in reference vocabulary,7
चेक,correct spelling,high,found in reference vocabulary,7
नतीजा,correct spelling,high,found in reference vocabulary,7
निकला,correct spelling,high,found in reference vocabulary,7
निकलने,correct spelling,high,found in reference vocabulary,7
चाची,correct spelling,high,found in reference vocabulary,7
बचा,correct spelling,high,found in reference vocabulary,7
अम्म,correct spelling,high,found in reference vocabulary,7
फेल,correct spelling,high,found in reference vocabulary,7
पहनना,correct spelling,high,found in reference vocabulary,7
तो।,correct spelling,high,found in reference vocabulary,7
चॉइस,correct spelling,high,found in reference vocabulary,7
चलाते,correct spelling,high,found in reference vocabulary,7
कवर,correct spelling,high,found in reference vocabulary,7
लिस्ट,correct spelling,high,found in reference vocabulary,7
इश्यू,correct spelling,high,found in reference vocabulary,7
बनते,correct spelling,high,found in reference vocabulary,7
बोरे,correct spelling,high,found in reference vocabulary,7
बताइये,correct spelling,high,found in reference vocabulary,7
गाड़ी,correct spelling,high,found in reference vocabulary,7
पत्थर,correct spelling,high,found in reference vocabulary,7
नदी,correct spelling,high,found in reference vocabulary,7
सांस्कृतिक,correct spelling,high,found in reference vocabulary,7
बनी,correct spelling,high,found in reference vocabulary,7
रखी,correct spelling,high,found in reference vocabulary,7
किला,correct spelling,high,found in reference vocabulary,7
इतिहास,correct spelling,high,found in reference vocabulary,7
मीटर,correct spelling,high,found in reference vocabulary,7
पाया,correct spelling,high,found in reference vocabulary,7
बांटना,correct spelling,high,found in reference vocabulary,7
कार्ड,correct spelling,high,found in reference vocabulary,7
स्टेट,correct spelling,high,found in reference vocabulary,7
बुजुर्ग,correct spelling,high,found in reference vocabulary,7
हम्,correct spelling,high,found in reference vocabulary,7
त्योहार,correct spelling,high,found in reference vocabulary,7
तीसरा,correct spelling,high,found in reference vocabulary,7
रहें,correct spelling,high,found in reference vocabulary,7
दिपावली,correct spelling,high,found in reference vocabulary,7
संस्कृति,correct spelling,high,found in reference vocabulary,7
विकसित,correct spelling,high,found in reference vocabulary,7
पूछा,correct spelling,high,found in reference vocabulary,7
बढ़ा,correct spelling,high,found in reference vocabulary,7
प्रेरित,correct spelling,high,found in reference vocabulary,7
डॉक्टर,correct spelling,high,found in reference vocabulary,7
भैया,correct spelling,high,found in reference vocabulary,7
उन्नीस,correct spelling,high,found in reference vocabulary,7
गयी,correct spelling,high,found in reference vocabulary,7
हुम,correct spelling,high,found in reference vocabulary,7
यादगार,correct spelling,high,found in reference vocabulary,7
सकें,correct spelling,high,found in reference vocabulary,7
जानना,correct spelling,high,found in reference vocabulary,7
मिस,correct spelling,high,found in reference vocabulary,7
ग्रेजुएशन,correct spelling,high,found in reference vocabulary,7
पूछते,correct spelling,high,found in reference vocabulary,7
पीढ़ी,correct spelling,high,found in reference vocabulary,7
वन,correct spelling,high,found in reference vocabulary,7
आदत,correct spelling,high,found in reference vocabulary,7
थीं,correct spelling,high,found in reference vocabulary,7
आसानी,correct spelling,high,found in reference vocabulary,7
सकूं,correct spelling,high,found in reference vocabulary,7
घूमे,correct spelling,high,found in reference vocabulary,7
पैसों,correct spelling,high,found in reference vocabulary,7
धूप,correct spelling,high,found in reference vocabulary,7
चैरिटी,correct spelling,high,found in reference vocabulary,7
प्राप्त,correct spelling,high,found in reference vocabulary,7
हाँ।,correct spelling,high,found in reference vocabulary,7
तुमने,correct spelling,high,found in reference vocabulary,7
एक्स्ट्रा,correct spelling,high,found in reference vocabulary,7
उपयोग,correct spelling,high,found in reference vocabulary,7
सेट,correct spelling,high,found in reference vocabulary,7
घंटी,correct spelling,high,found in reference vocabulary,7
टेंशन,correct spelling,high,found in reference vocabulary,7
डाला,correct spelling,high,found in reference vocabulary,7
चीज़ें,correct spelling,high,found in reference vocabulary,7
बनती,correct spelling,high,found in reference vocabulary,7
लिख,correct spelling,high,found in reference vocabulary,7
प,correct spelling,high,found in reference vocabulary,7
कलाम,correct spelling,high,found in reference vocabulary,7
घबरा,correct spelling,high,found in reference vocabulary,7
जे,correct spelling,high,found in reference vocabulary,7
फेस,correct spelling,high,found in reference vocabulary,7
कॉन्फिडेंस,correct spelling,high,found in reference vocabulary,7
मुझसे,correct spelling,high,found in reference vocabulary,7
इंस्पिरेशन,correct spelling,high,found in reference vocabulary,7
मिलेगी,correct spelling,high,found in reference vocabulary,7
प्रेम,correct spelling,high,found in reference vocabulary,7
इच्छा,correct spelling,high,found in reference vocabulary,7
शैली,correct spelling,high,found in reference vocabulary,7
इनके,correct spelling,high,found in reference vocabulary,7
बातचीत,correct spelling,high,found in reference vocabulary,7
बनने,correct spelling,high,found in reference vocabulary,7
भूख,correct spelling,high,found in reference vocabulary,7
कभार,correct spelling,high,found in reference vocabulary,7
परिचय,correct spelling,high,found in reference vocabulary,7
किताबे,correct spelling,high,found in reference vocabulary,7
सीक्रेट,correct spelling,high,found in reference vocabulary,7
नंबर,correct spelling,high,found in reference vocabulary,7
कमजोर,correct spelling,high,found in reference vocabulary,7
जानता,correct spelling,high,found in reference vocabulary,7
जॉइन,correct spelling,high,found in reference vocabulary,7
फीचर्स,correct spelling,high,found in reference vocabulary,7
फोर,correct spelling,high,found in reference vocabulary,7
टेक्नोलॉजी,correct spelling,high,found in reference vocabulary,7
गेम्स,correct spelling,high,found in reference vocabulary,7
निकलना,correct spelling,high,found in reference vocabulary,7
इस्तेमाल,correct spelling,high,found in reference vocabulary,7
पाएंगे,correct spelling,high,found in reference vocabulary,7
गलतियों,correct spelling,high,found in reference vocabulary,7
कलर,correct spelling,high,found in reference vocabulary,7
महान,correct spelling,high,found in reference vocabulary,7
कोडिंग,correct spelling,high,found in reference vocabulary,7
पेड़,correct spelling,high,found in reference vocabulary,7
उदयपुर,correct spelling,high,found in reference vocabulary,7
खाई,correct spelling,high,found in reference vocabulary,7
लंबा,correct spelling,high,found in reference vocabulary,7
ट्रेनिंग,correct spelling,high,found in reference vocabulary,7
स्वस्थ,correct spelling,high,found in reference vocabulary,7
रोचक,correct spelling,high,found in reference vocabulary,7
छुट,correct spelling,high,found in reference vocabulary,7
चलान,correct spelling,high,found in reference vocabulary,7
सिग्नल,correct spelling,high,found in reference vocabulary,7
सुनती,correct spelling,high,found in reference vocabulary,7
जन,correct spelling,high,found in reference vocabulary,6
खतरा,correct spelling,high,found in reference vocabulary,6
बढ़ना,correct spelling,high,found in reference vocabulary,6
नेपाल,correct spelling,high,found in reference vocabulary,6
गुरु,correct spelling,high,found in reference vocabulary,6
शोक,correct spelling,high,found in reference vocabulary,6
पकड़,correct spelling,high,found in reference vocabulary,6
दर,correct spelling,high,found in reference vocabulary,6
कहानियां,correct spelling,high,found in reference vocabulary,6
रहीं,correct spelling,high,found in reference vocabulary,6
भुजिया,correct spelling,high,found in reference vocabulary,6
अगल,correct spelling,high,found in reference vocabulary,6
चुके,correct spelling,high,found in reference vocabulary,6
हीरो,correct spelling,high,found in reference vocabulary,6
पढ़ाने,correct spelling,high,found in reference vocabulary,6
अंत,correct spelling,high,found in reference vocabulary,6
पेट,correct spelling,high,found in reference vocabulary,6
रुके,correct spelling,high,found in reference vocabulary,6
जीजी,correct spelling,high,found in reference vocabulary,6
हाल,correct spelling,high,found in reference vocabulary,6
पार्टनर,correct spelling,high,found in reference vocabulary,6
आउटफिट,correct spelling,high,found in reference vocabulary,6
दिये,correct spelling,high,found in reference vocabulary,6
बोलिये,correct spelling,high,found in reference vocabulary,6
फूल,correct spelling,high,found in reference vocabulary,6
पुरा,correct spelling,high,found in reference vocabulary,6
इंस्टाग्राम,correct spelling,high,found in reference vocabulary,6
जिसका,correct spelling,high,found in reference vocabulary,6
जिन,correct spelling,high,found in reference vocabulary,6
एक्सप्लोर,correct spelling,high,found in reference vocabulary,6
शुभ,correct spelling,high,found in reference vocabulary,6
साडी,correct spelling,high,found in reference vocabulary,6
जूट,correct spelling,high,found in reference vocabulary,6
डी,correct spelling,high,found in reference vocabulary,6
केवल,correct spelling,high,found in reference vocabulary,6
रैप,correct spelling,high,found in reference vocabulary,6
प्लेलिस्ट,correct spelling,high,found in reference vocabulary,6
त,correct spelling,high,found in reference vocabulary,6
यहा,correct spelling,high,found in reference vocabulary,6
ग्यारह,correct spelling,high,found in reference vocabulary,6
गा,correct spelling,high,found in reference vocabulary,6
अवेलेबल,correct spelling,high,found in reference vocabulary,6
